visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,47,Foreign Affairs or Defence Sector,15 Days,32 Days,2 Days,5 Days,29 November 2023,31 October 2023,<p>​<br><br></p>
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,45,Postgraduate Research Sector,48 Days,8 Months,5 Days,18 Days,29 November 2023,31 October 2023,
100,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/migrant-100'>100 - Partner (Migrant) visa (subclass 100)</a>,100 - Partner (Migrant) visa (subclass 100),Family,,,18 Months,30 Months,11 Months,14 Months,29 November 2023,31 October 2023,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
101,<a href='/visas/getting-a-visa/visa-listing/child-101'>101 - Child (subclass 101)</a>,101 - Child (subclass 101),Family,,,18 Months,28 Months,7 Months,11 Months,29 November 2023,31 October 2023,
102,<a href='/visas/getting-a-visa/visa-listing/adoption-102'>102 - Adoption (subclass 102)</a>,102 - Adoption (subclass 102),Family,,,16 Months,23 Months,4 Months,7 Months,29 November 2023,31 October 2023,
124,<a href='/visas/getting-a-visa/visa-listing/distinguished-talent-124'>124 - Distinguished Talent (subclass 124)</a>,124 - Distinguished Talent (subclass 124),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 November 2023,31 October 2023,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/significant-business-history-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,1,Significant Business History,42 Months,45 Months,38 Months,40 Months,29 November 2023,31 October 2023,
117,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-117'>117 - Orphan Relative (subclass 117)</a>,117 - Orphan Relative (subclass 117),Family,,,89 Months,117 Months,47 Months,65 Months,29 November 2023,31 October 2023,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/venture-capital-entrepreneur-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,2,Venture Capital Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 November 2023,31 October 2023,
155,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>155 - Resident Return 5 Year (subclass 155)</a>,155 - Resident Return 5 Year (subclass 155),Resident Return/ADV,,,5 Days,14 Days,Less than 1 Day,Less than 1 Day,29 November 2023,31 October 2023,"<p>​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​<br></p>"
