visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,47,Foreign Affairs or Defence Sector,7 Days,14 Days,1 Day,2 Days,26 September 2024,31 August 2024,
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,45,Postgraduate Research Sector,74 Days,4 Months,7 Days,42 Days,26 September 2024,31 August 2024,
100,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/migrant-100'>100 - Partner (Migrant) visa (subclass 100)</a>,100 - Partner (Migrant) visa (subclass 100),Family,,,14 Months,21 Months,7 Months,10 Months,26 September 2024,31 August 2024,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
101,<a href='/visas/getting-a-visa/visa-listing/child-101'>101 - Child (subclass 101)</a>,101 - Child (subclass 101),Family,,,23 Months,26 Months,17 Months,19 Months,26 September 2024,31 August 2024,
102,<a href='/visas/getting-a-visa/visa-listing/adoption-102'>102 - Adoption (subclass 102)</a>,102 - Adoption (subclass 102),Family,,,9 Months,17 Months,89 Days,6 Months,26 September 2024,31 August 2024,
124,<a href='/visas/getting-a-visa/visa-listing/distinguished-talent-124'>124 - Distinguished Talent (subclass 124)</a>,124 - Distinguished Talent (subclass 124),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,26 September 2024,31 August 2024,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/significant-business-history-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,1,Significant Business History,52 Months,54 Months,36 Months,43 Months,26 September 2024,31 August 2024,
117,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-117'>117 - Orphan Relative (subclass 117)</a>,117 - Orphan Relative (subclass 117),Family,,,71 Months,85 Months,31 Months,45 Months,26 September 2024,31 August 2024,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/venture-capital-entrepreneur-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,2,Venture Capital Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,26 September 2024,31 August 2024,
155,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>155 - Resident Return 5 Year (subclass 155)</a>,155 - Resident Return 5 Year (subclass 155),Resident Return/ADV,,,2 Days,6 Days,Less than 1 Day,Less than 1 Day,26 September 2024,31 August 2024,"<p>​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​<br></p>"
