visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,47,Foreign Affairs or Defence Sector,10 Days,20 Days,1 Day,4 Days,11 December 2025,31 October 2025,
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,45,Postgraduate Research Sector,5 Months,8 Months,7 Days,26 Days,11 December 2025,31 October 2025,
100,<a href='/visas/getting-a-visa/visa-listing/partner-offshore/migrant-100'>100 - Partner (Migrant) visa (subclass 100)</a>,100 - Partner (Migrant) visa (subclass 100),Family,,,15 Months,21 Months,9 Months,10 Months,11 December 2025,31 October 2025,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.<br></p>​<br>
101,<a href='/visas/getting-a-visa/visa-listing/child-101'>101 - Child (subclass 101)</a>,101 - Child (subclass 101),Family,,,26 Months,28 Months,20 Months,22 Months,11 December 2025,31 October 2025,
102,<a href='/visas/getting-a-visa/visa-listing/adoption-102'>102 - Adoption (subclass 102)</a>,102 - Adoption (subclass 102),Family,,,7 Months,11 Months,3 Months,4 Months,11 December 2025,31 October 2025,
124,<a href='/visas/getting-a-visa/visa-listing/distinguished-talent-124'>124 - Distinguished Talent (subclass 124)</a>,124 - Distinguished Talent (subclass 124),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,11 December 2025,31 October 2025,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/significant-business-history-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,1,Significant Business History,66 Months,67 Months,52 Months,60 Months,11 December 2025,31 October 2025,
117,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-117'>117 - Orphan Relative (subclass 117)</a>,117 - Orphan Relative (subclass 117),Family,,,82 Months,89 Months,40 Months,73 Months,11 December 2025,31 October 2025,
132,<a href='/visas/getting-a-visa/visa-listing/business-talent-permanent-132/venture-capital-entrepreneur-stream'>132 - Business Talent  (subclass 132)</a>,132 - Business Talent  (subclass 132),Skilled,2,Venture Capital Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,11 December 2025,31 October 2025,
155,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>155 - Resident Return 5 Year (subclass 155)</a>,155 - Resident Return 5 Year (subclass 155),Resident Return/ADV,,,7 Days,32 Days,Less than 1 Day,Less than 1 Day,11 December 2025,31 October 2025,"<p>​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​<br></p>"
157,<a href='/visas/getting-a-visa/visa-listing/resident-return-visa-155-157'>157 - Resident Return 3mth  (subclass 157)</a>,157 - Resident Return 3mth  (subclass 157),Resident Return/ADV,,,36 Days,65 Days,23 Days,30 Days,11 December 2025,31 October 2025,
159,159 - Provisional Resident Return  (subclass 159),159 - Provisional Resident Return  (subclass 159),Resident Return/ADV,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,31 August 2023,28 February 2023,
186,<a href='/visas/getting-a-visa/visa-listing/employer-nomination-scheme-186/direct-entry-stream'>186 - Employer Nomination Scheme visa (subclass 186)</a>,186 - Employer Nomination Scheme visa (subclass 186),Skilled,3,Direct Entry Pathway,15 Months,19 Months,6 Months,8 Months,11 December 2025,31 October 2025,
